order_id,dispatch_date,delivery_date,branch,delay_days,order_value_naira,delivery_partner,complaint_notes
ORD-0277,2026-08-20,2026-08-20,Yaba,0,45000,SwiftHaul Express,
ORD-0377,2026-08-10,2026-08-11,Yaba,1,27500,Zenith Dispatch,
ORD-0193,2026-08-23,2026-08-23,Lekki,0,15000,Zenith Dispatch,
ORD-0194,2026-08-16,2026-08-20,Lekki,4,15000,Zenith Dispatch,Customer requested reschedule after first attempt
ORD-0230,2026-08-10,2026-08-11,Lekki,1,31000,CityLink Couriers,
ORD-0196,2026-08-24,2026-08-26,Lekki,2,8900,CityLink Couriers,
ORD-0388,2026-08-21,2026-08-22,Yaba,1,12500,CityLink Couriers,
ORD-0216,2026-08-08,2026-08-10,Lekki,2,15000,SwiftHaul Express,
ORD-0070,2026-08-06,2026-08-09,Ikeja,3,52500,SwiftHaul Express,"Vehicle breakdown, order delayed to next shipment"
ORD-0093,2026-08-07,2026-08-10,Ikeja,3,22500,Zenith Dispatch,"Customer not at address, redelivered next day"
ORD-0210,2026-08-07,2026-08-09,Lekki,2,45000,Zenith Dispatch,
ORD-0147,2026-08-09,2026-08-11,Lekki,2,31000,SwiftHaul Express,
ORD-0017,2026-08-18,2026-08-21,Ikeja,3,8900,SwiftHaul Express,"Customer not at address, redelivered next day"
ORD-0384,2026-08-17,2026-08-17,Yaba,0,67000,SwiftHaul Express,
ORD-0036,2026-08-07,2026-08-10,Ikeja,3,15000,SwiftHaul Express,"Wrong address on order, corrected and redelivered"
ORD-0031,2026-08-10,2026-08-13,Ikeja,3,52500,Zenith Dispatch,"Customer not at address, redelivered next day"
ORD-0278,2026-08-14,2026-08-15,Yaba,1,31000,CityLink Couriers,
ORD-0033,2026-08-21,2026-08-21,Ikeja,0,45000,Rapid Wheels Logistics,
ORD-0177,2026-08-14,2026-08-14,Lekki,0,22500,Rapid Wheels Logistics,
ORD-0217,2026-08-06,2026-08-07,Lekki,1,22500,Rapid Wheels Logistics,
ORD-0024,2026-08-23,2026-08-26,Ikeja,3,22500,CityLink Couriers,
ORD-0038,2026-08-16,2026-08-16,Ikeja,0,15000,CityLink Couriers,
ORD-0297,2026-08-14,2026-08-17,Yaba,3,18000,SwiftHaul Express,Customer requested reschedule after first attempt
ORD-0381,2026-08-07,2026-08-07,Yaba,0,52500,Zenith Dispatch,
ORD-0002,2026-08-16,2026-08-18,Ikeja,2,22500,Zenith Dispatch,
ORD-0131,2026-08-06,2026-08-08,Ikeja,2,27500,Rapid Wheels Logistics,
ORD-0203,2026-08-07,2026-08-08,Lekki,1,45000,CityLink Couriers,
ORD-0012,2026-08-10,2026-08-13,Ikeja,3,45000,CityLink Couriers,
ORD-0245,2026-08-14,2026-08-14,Lekki,0,22500,Rapid Wheels Logistics,
ORD-0237,2026-08-06,2026-08-07,Lekki,1,45000,SwiftHaul Express,
ORD-0287,2026-08-13,2026-08-13,Yaba,0,22500,CityLink Couriers,
ORD-0030,2026-08-11,2026-08-12,Ikeja,1,27500,Rapid Wheels Logistics,
ORD-0370,2026-08-10,2026-08-12,Yaba,2,67000,Zenith Dispatch,
ORD-0234,2026-08-08,2026-08-08,Lekki,0,52500,CityLink Couriers,
ORD-0387,2026-08-06,2026-08-08,Yaba,2,15000,CityLink Couriers,
ORD-0263,2026-08-14,2026-08-16,Lekki,2,15000,SwiftHaul Express,
ORD-0068,2026-08-14,2026-08-17,Ikeja,3,8900,Rapid Wheels Logistics,"Traffic delay on route, customer informed"
ORD-0391,2026-08-13,2026-08-13,Yaba,0,12500,Rapid Wheels Logistics,
ORD-0029,2026-08-18,2026-08-21,Ikeja,3,45000,Zenith Dispatch,
ORD-0375,2026-08-06,2026-08-08,Yaba,2,45000,SwiftHaul Express,
ORD-0262,2026-08-18,2026-08-18,Lekki,0,15000,CityLink Couriers,
ORD-0047,2026-08-13,2026-08-16,Ikeja,3,52500,Rapid Wheels Logistics,"Traffic delay on route, customer informed"
ORD-0251,2026-08-09,2026-08-09,Lekki,0,67000,SwiftHaul Express,
ORD-0299,2026-08-08,2026-08-09,yaba,1,52500,Rapid Wheels Logistics,
ORD-0106,2026-08-18,2026-08-22,Ikeja,4,15000,SwiftHaul Express,"Vehicle breakdown, order delayed to next shipment"
ORD-0379,2026-08-07,2026-08-10,Yaba,3,15000,CityLink Couriers,Customer requested reschedule after first attempt
ORD-0060,2026-08-20,2026-08-23,Ikeja,3,8900,Zenith Dispatch,
ORD-0227,2026-08-17,2026-08-18,Lekki,1,18000,Zenith Dispatch,
ORD-0267,2026-08-05,2026-08-07,Lekki,2,27500,SwiftHaul Express,
ORD-0168,2026-08-15,2026-08-15,Lekki,0,18000,Zenith Dispatch,
ORD-0085,2026-08-12,2026-08-14,Ikeja,2,52500,Zenith Dispatch,
ORD-0077,2026-08-17,2026-08-20,Ikeja,3,67000,Rapid Wheels Logistics,"Vehicle breakdown, order delayed to next shipment"
ORD-0275,2026-08-15,2026-08-15,Yaba,0,45000,SwiftHaul Express,
ORD-0294,2026-08-13,2026-08-13,Yaba  ,0,52500,SwiftHaul Express,
ORD-0104,2026-08-14,2026-08-15,Ikeja,1,27500,Rapid Wheels Logistics,
ORD-0259,2026-08-05,2026-08-06,Lekki,1,45000,Zenith Dispatch,
ORD-0281,2026-08-12,2026-08-12,Yaba,0,67000,CityLink Couriers,
ORD-0032,2026-08-12,2026-08-13,Ikeja,1,45000,SwiftHaul Express,
ORD-0058,2026-08-11,2026-08-15,Ikeja,4,22500,SwiftHaul Express,"Traffic delay on route, customer informed"
ORD-0289,2026-08-07,2026-08-09,Yaba,2,27500,CityLink Couriers,
ORD-0040,2026-08-04,2026-08-05,Ikeja,1,8900,CityLink Couriers,
ORD-0186,2026-08-15,2026-08-18,Lekki,3,8900,Rapid Wheels Logistics,"Traffic delay on route, customer informed"
ORD-0206,2026-08-17,2026-08-17,Lekki,0,12500,Zenith Dispatch,
ORD-0271,2026-08-05,2026-08-06,Yaba,1,22500,Rapid Wheels Logistics,
ORD-0229,2026-08-23,2026-08-25,lekki,2,12500,Rapid Wheels Logistics,
ORD-0270,2026-08-16,2026-08-17,Lekki,1,52500,Zenith Dispatch,
ORD-0042,2026-08-14,2026-08-16,Ikeja,2,15000,Zenith Dispatch,
ORD-0306,2026-08-20,2026-08-21,Yaba,1,22500,CityLink Couriers,
ORD-0349,2026-08-09,2026-08-09,Yaba,0,52500,Zenith Dispatch,
ORD-0127,2026-08-19,2026-08-24,Ikeja,5,67000,Zenith Dispatch,"Customer not at address, redelivered next day"
ORD-0112,2026-08-04,2026-08-06,Ikeja,2,18000,Zenith Dispatch,
ORD-0341,2026-08-08,2026-08-08,Yaba,0,18000,SwiftHaul Express,
ORD-0276,2026-08-06,2026-08-08,Yaba,2,15000,CityLink Couriers,
ORD-0242,2026-08-11,2026-08-12,Lekki,1,52500,SwiftHaul Express,
ORD-0282,2026-08-23,2026-08-24,Yaba,1,31000,SwiftHaul Express,
ORD-0360,2026-08-04,2026-08-06,Yaba,2,67000,Zenith Dispatch,
ORD-0213,2026-08-12,2026-08-12,Lekki,0,12500,CityLink Couriers,
ORD-0192,2026-08-06,2026-08-07,Lekki,1,22500,Zenith Dispatch,
ORD-0311,2026-08-23,2026-08-23,Yaba,0,12500,SwiftHaul Express,
ORD-0383,2026-08-04,2026-08-05,Yaba,1,8900,CityLink Couriers,
ORD-0233,2026-08-19,2026-08-21,Lekki,2,52500,CityLink Couriers,
ORD-0079,2026-08-23,2026-08-25,Ikeja,2,8900,Rapid Wheels Logistics,
ORD-0245,2026-08-14,2026-08-14,Lekki,0,22500,Rapid Wheels Logistics,
ORD-0069,2026-08-16,2026-08-18,Ikeja,2,22500,CityLink Couriers,
ORD-0113,2026-08-11,2026-08-13,Ikeja,2,52500,CityLink Couriers,
ORD-0114,2026-08-13,2026-08-14,Ikeja,1,15000,Zenith Dispatch,
ORD-0315,2026-08-06,2026-08-07,Yaba,1,12500,CityLink Couriers,
ORD-0189,2026-08-16,2026-08-18,Lekki,2,52500,Rapid Wheels Logistics,
ORD-0152,2026-08-12,2026-08-14,Lekki,2,8900,Rapid Wheels Logistics,
ORD-0328,2026-08-20,2026-08-21,Yaba,1,67000,SwiftHaul Express,
ORD-0128,2026-08-12,2026-08-15,Ikeja,3,67000,Rapid Wheels Logistics,
ORD-0354,2026-08-24,2026-08-27,Yaba,3,12500,SwiftHaul Express,Customer requested reschedule after first attempt
ORD-0160,2026-08-08,2026-08-09,Lekki,1,12500,Rapid Wheels Logistics,
ORD-0395,2026-08-08,2026-08-09,Yaba,1,8900,SwiftHaul Express,
ORD-0361,2026-08-17,2026-08-17,Yaba,0,22500,SwiftHaul Express,
ORD-0258,2026-08-18,2026-08-19,Lekki,1,67000,Rapid Wheels Logistics,
ORD-0352,2026-08-04,2026-08-05,Yaba,1,45000,Zenith Dispatch,
ORD-0208,2026-08-07,2026-08-07,Lekki,0,15000,CityLink Couriers,
ORD-0082,2026-08-05,2026-08-07,Ikeja,2,31000,SwiftHaul Express,
ORD-0158,2026-08-24,2026-08-24,Lekki,0,67000,Zenith Dispatch,
ORD-0239,2026-08-04,2026-08-04,Lekki,0,45000,CityLink Couriers,
ORD-0061,2026-08-18,2026-08-22,Ikeja,4,15000,SwiftHaul Express,
